epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.23325,0,11.8572,0,0,0,0,0,0,1.63058,0,0.0991,0.0001,0.0001
2,2.28442,0,6.18082,0,0,0,0,0,0,0.67716,0,0.0972999,0.000299927,0.000299927
1,1.24012,0,1.78074,0,0,0,0,0,0,1.30726,0,0.0937,0.0007,0.0007
2,2.73525,0,1.36986,0,0,0,0,0,0,1.30726,0,0.0864985,0.00149853,0.00149853
3,3.81224,0,1.26529,0,0,0,0,0,0,0.94112,0,0.079291,0.00229102,0.00229102
4,4.87435,0,0.9621,0,0,0,0,0,0,0.94112,0,0.0720728,0.00307282,0.00307282
5,5.93612,0,0.9617,0,0,0,0,0,0,0.94112,0,0.0648393,0.00383935,0.00383935
6,7.0338,0,0.96212,0,0,0,0,0,0,0.94112,0,0.0575861,0.00458613,0.00458613
7,8.11716,0,0.96195,0,0,0,0,0,0,0.94112,0,0.0503088,0.00530882,0.00530882
8,9.22568,0,0.8248,0,0,0,0,0,0,0.7201,0,0.0430032,0.0060032,0.0060032
9,10.2814,0,0.68557,0,0,0,0,0,0,0.7201,0,0.0356653,0.00666528,0.00666528
10,11.3731,0,0.68634,0,0,0,0,0,0,0.7201,0,0.0282912,0.00729124,0.00729124
11,12.45,0,0.6852,0,0,0,0,0,0,0.7201,0,0.0208775,0.00787753,0.00787753
12,13.5725,0,0.68605,0,0,0,0,0,0,0.7201,0,0.0134208,0.00842084,0.00842084
13,14.7038,0,0.68704,0,0,0,0,0,0,0.7201,0,0.00865839,0.00865839,0.00865839
14,15.7846,0,0.68622,0,0,0,0,0,0,0.7201,0,0.00843851,0.00843851,0.00843851
15,16.8538,0,0.68596,0,0,0,0,0,0,0.7201,0,0.00820525,0.00820525,0.00820525
16,17.9843,0,0.62304,0,0,0,0,0,0,0.59822,0,0.00795954,0.00795954,0.00795954
17,19.0622,0,0.55995,0,0,0,0,0,0,0.59822,0,0.00770234,0.00770234,0.00770234
18,20.1808,0,0.5597,0,0,0,0,0,0,0.59822,0,0.00743468,0.00743468,0.00743468
19,21.2656,0,0.5607,0,0,0,0,0,0,0.59822,0,0.00715761,0.00715761,0.00715761
20,22.3761,0,0.55988,0,0,0,0,0,0,0.59822,0,0.00687222,0.00687222,0.00687222
21,23.4641,0,0.5605,0,0,0,0,0,0,0.59822,0,0.00657963,0.00657963,0.00657963
22,24.5521,0,0.56108,0,0,0,0,0,0,0.59822,0,0.00628101,0.00628101,0.00628101
23,25.6241,0,0.56014,0,0,0,0,0,0,0.59822,0,0.00597754,0.00597754,0.00597754
24,26.856,0,0.51691,0,0,0,0,0,0,0.46026,0,0.0056704,0.0056704,0.0056704
25,27.9383,0,0.47437,0,0,0,0,0,0,0.46026,0,0.00536081,0.00536081,0.00536081
26,29.0475,0,0.47302,0,0,0,0,0,0,0.46026,0,0.00505,0.00505,0.00505
27,30.1247,0,0.47425,0,0,0,0,0,0,0.46026,0,0.00473919,0.00473919,0.00473919
28,31.2539,0,0.47382,0,0,0,0,0,0,0.46026,0,0.0044296,0.0044296,0.0044296
29,32.322,0,0.47343,0,0,0,0,0,0,0.46026,0,0.00412246,0.00412246,0.00412246
30,33.4016,0,0.47308,0,0,0,0,0,0,0.46026,0,0.00381899,0.00381899,0.00381899
31,34.4869,0,0.47303,0,0,0,0,0,0,0.46026,0,0.00352037,0.00352037,0.00352037
32,35.5917,0,0.4499,0,0,0,0,0,0,0.41507,0,0.00322778,0.00322778,0.00322778
33,36.6754,0,0.42469,0,0,0,0,0,0,0.41507,0,0.00294239,0.00294239,0.00294239
34,37.762,0,0.424,0,0,0,0,0,0,0.41507,0,0.00266532,0.00266532,0.00266532
35,38.8513,0,0.42517,0,0,0,0,0,0,0.41507,0,0.00239766,0.00239766,0.00239766
36,39.9906,0,0.4256,0,0,0,0,0,0,0.41507,0,0.00214046,0.00214046,0.00214046
37,41.0773,0,0.42497,0,0,0,0,0,0,0.41507,0,0.00189475,0.00189475,0.00189475
38,42.198,0,0.42478,0,0,0,0,0,0,0.41507,0,0.00166149,0.00166149,0.00166149
39,43.4021,0,0.42365,0,0,0,0,0,0,0.41507,0,0.00144161,0.00144161,0.00144161
40,44.5097,0,0.41535,0,0,0,0,0,0,0.4046,0,0.00123596,0.00123596,0.00123596
41,45.5965,0,0.40491,0,0,0,0,0,0,0.4046,0,0.00104537,0.00104537,0.00104537
42,46.6937,0,0.40556,0,0,0,0,0,0,0.4046,0,0.000870577,0.000870577,0.000870577
43,47.7605,0,0.40748,0,0,0,0,0,0,0.4046,0,0.000712282,0.000712282,0.000712282
44,48.838,0,0.40669,0,0,0,0,0,0,0.4046,0,0.000571106,0.000571106,0.000571106
45,49.9074,0,0.40602,0,0,0,0,0,0,0.4046,0,0.000447606,0.000447606,0.000447606
46,51.0135,0,0.40572,0,0,0,0,0,0,0.4046,0,0.00034227,0.00034227,0.00034227
47,52.1141,0,0.40508,0,0,0,0,0,0,0.4046,0,0.000255513,0.000255513,0.000255513
48,53.2169,0,0.4046,0,0,0,0,0,0,0.40475,0,0.000187678,0.000187678,0.000187678
49,54.3289,0,0.40463,0,0,0,0,0,0,0.40475,0,0.000139032,0.000139032,0.000139032
50,55.4106,0,0.4035,0,0,0,0,0,0,0.40475,0,0.000109768,0.000109768,0.000109768
1,1.28502,2.08082,4.05894,1.50015,0.00228,0.06667,0.00144,0.00072,1.94419,4.13509,1.09645,0.0937,0.0007,0.0007
2,2.81224,1.87467,3.95763,1.30091,0.00228,0.06667,0.00144,0.00072,1.94419,4.13509,1.09645,0.0864985,0.00149853,0.00149853
3,3.98981,2.31247,4.07121,1.41048,0.00525,0.13333,0.00622,0.00106,2.16227,4.05363,1.06996,0.079291,0.00229102,0.00229102
4,5.1387,2.25965,4.04549,1.39481,0.00525,0.13333,0.00622,0.00106,2.16227,4.05363,1.06996,0.0720728,0.00307282,0.00307282
5,6.27681,1.96374,4.00088,1.34033,0.00525,0.13333,0.00622,0.00106,2.16227,4.05363,1.06996,0.0648393,0.00383935,0.00383935
6,7.42623,2.51874,3.9398,1.55376,0.00525,0.13333,0.00622,0.00106,2.16227,4.05363,1.06996,0.0575861,0.00458613,0.00458613
7,8.61008,2.00067,4.05098,1.35312,0.00525,0.13333,0.00622,0.00106,2.16227,4.05363,1.06996,0.0503088,0.00530882,0.00530882
8,9.86938,1.90324,3.86531,1.27932,0,0,0,0,2.85372,4.22422,1.4083,0.0430032,0.0060032,0.0060032
9,11.0681,1.9345,3.94733,1.24203,0,0,0,0,2.85372,4.22422,1.4083,0.0356653,0.00666528,0.00666528
10,12.2246,2.1913,3.92629,1.27447,0,0,0,0,2.85372,4.22422,1.4083,0.0282912,0.00729124,0.00729124
11,13.3882,1.98558,3.90391,1.31226,0,0,0,0,2.85372,4.22422,1.4083,0.0208775,0.00787753,0.00787753
12,14.5435,1.99046,3.82984,1.25938,0,0,0,0,2.85372,4.22422,1.4083,0.0134208,0.00842084,0.00842084
13,15.6948,2.15448,3.92884,1.34215,0,0,0,0,2.85372,4.22422,1.4083,0.00865839,0.00865839,0.00865839
14,16.8458,2.15585,3.89537,1.30361,0,0,0,0,2.85372,4.22422,1.4083,0.00843851,0.00843851,0.00843851
15,17.9861,1.99548,3.85004,1.26705,0,0,0,0,2.85372,4.22422,1.4083,0.00820525,0.00820525,0.00820525
16,19.2374,2.05309,3.81304,1.14923,0.02266,0.4,0.04065,0.01319,2.66977,3.76649,1.11919,0.00795954,0.00795954,0.00795954
17,20.4088,1.76664,3.6499,1.12686,0.02266,0.4,0.04065,0.01319,2.66977,3.76649,1.11919,0.00770234,0.00770234,0.00770234
18,21.5603,1.91409,3.71072,1.13943,0.02266,0.4,0.04065,0.01319,2.66977,3.76649,1.11919,0.00743468,0.00743468,0.00743468
19,22.693,2.01792,3.81484,1.25624,0.02266,0.4,0.04065,0.01319,2.66977,3.76649,1.11919,0.00715761,0.00715761,0.00715761
20,23.8387,2.14487,3.82534,1.27362,0.02266,0.4,0.04065,0.01319,2.66977,3.76649,1.11919,0.00687222,0.00687222,0.00687222
21,24.9785,2.0686,3.80654,1.16307,0.02266,0.4,0.04065,0.01319,2.66977,3.76649,1.11919,0.00657963,0.00657963,0.00657963
22,26.1184,2.05893,3.77604,1.176,0.02266,0.4,0.04065,0.01319,2.66977,3.76649,1.11919,0.00628101,0.00628101,0.00628101
23,27.2769,1.92367,3.6736,1.13503,0.02266,0.4,0.04065,0.01319,2.66977,3.76649,1.11919,0.00597754,0.00597754,0.00597754
24,28.475,2.0166,3.56297,1.1019,0.02159,0.4,0.03552,0.01505,2.46589,3.45251,1.12311,0.0056704,0.0056704,0.0056704
25,29.6844,1.76213,3.46582,1.0986,0.02159,0.4,0.03552,0.01505,2.46589,3.45251,1.12311,0.00536081,0.00536081,0.00536081
26,30.8492,1.91358,3.58096,1.17443,0.02159,0.4,0.03552,0.01505,2.46589,3.45251,1.12311,0.00505,0.00505,0.00505
27,32.0303,1.91531,3.60956,1.13884,0.02159,0.4,0.03552,0.01505,2.46589,3.45251,1.12311,0.00473919,0.00473919,0.00473919
28,33.1939,1.83249,3.52997,1.16046,0.02159,0.4,0.03552,0.01505,2.46589,3.45251,1.12311,0.0044296,0.0044296,0.0044296
29,34.3449,1.77465,3.53201,1.0864,0.02159,0.4,0.03552,0.01505,2.46589,3.45251,1.12311,0.00412246,0.00412246,0.00412246
30,35.5251,1.98805,3.59286,1.13237,0.02159,0.4,0.03552,0.01505,2.46589,3.45251,1.12311,0.00381899,0.00381899,0.00381899
31,36.6678,1.98857,3.58217,1.11951,0.02159,0.4,0.03552,0.01505,2.46589,3.45251,1.12311,0.00352037,0.00352037,0.00352037
32,37.8185,1.65753,3.40926,1.07513,0.02312,0.46667,0.14222,0.06107,2.25982,3.17641,1.12196,0.00322778,0.00322778,0.00322778
33,38.9948,1.73106,3.35868,1.12428,0.02312,0.46667,0.14222,0.06107,2.25982,3.17641,1.12196,0.00294239,0.00294239,0.00294239
34,40.1884,1.83233,3.38789,1.10754,0.02312,0.46667,0.14222,0.06107,2.25982,3.17641,1.12196,0.00266532,0.00266532,0.00266532
35,41.4163,1.70768,3.306,1.10387,0.02312,0.46667,0.14222,0.06107,2.25982,3.17641,1.12196,0.00239766,0.00239766,0.00239766
36,42.6087,1.92064,3.37478,1.14296,0.02312,0.46667,0.14222,0.06107,2.25982,3.17641,1.12196,0.00214046,0.00214046,0.00214046
37,43.7894,1.70887,3.42976,1.10948,0.02312,0.46667,0.14222,0.06107,2.25982,3.17641,1.12196,0.00189475,0.00189475,0.00189475
38,44.9619,1.87568,3.43108,1.13353,0.02312,0.46667,0.14222,0.06107,2.25982,3.17641,1.12196,0.00166149,0.00166149,0.00166149
39,46.1077,1.92734,3.37966,1.1249,0.02312,0.46667,0.14222,0.06107,2.25982,3.17641,1.12196,0.00144161,0.00144161,0.00144161
40,47.2778,1.80986,3.29648,1.06721,0.02022,0.4,0.23266,0.07831,2.37777,3.02946,1.15991,0.00123596,0.00123596,0.00123596
41,48.4655,1.6345,3.11356,1.07348,0.02022,0.4,0.23266,0.07831,2.37777,3.02946,1.15991,0.00104537,0.00104537,0.00104537
42,49.5868,1.76821,3.1119,1.10535,0.02022,0.4,0.23266,0.07831,2.37777,3.02946,1.15991,0.000870577,0.000870577,0.000870577
43,50.738,2.15392,3.22206,1.18538,0.02022,0.4,0.23266,0.07831,2.37777,3.02946,1.15991,0.000712282,0.000712282,0.000712282
44,51.8818,1.81261,3.17956,1.07703,0.02022,0.4,0.23266,0.07831,2.37777,3.02946,1.15991,0.000571106,0.000571106,0.000571106
45,53.0441,1.80443,3.19591,1.15327,0.02022,0.4,0.23266,0.07831,2.37777,3.02946,1.15991,0.000447606,0.000447606,0.000447606
46,54.2093,1.72339,3.16275,1.05557,0.02022,0.4,0.23266,0.07831,2.37777,3.02946,1.15991,0.00034227,0.00034227,0.00034227
47,55.4069,1.56835,3.18223,1.07946,0.02022,0.4,0.23266,0.07831,2.37777,3.02946,1.15991,0.000255513,0.000255513,0.000255513
48,56.5728,1.70179,3.16729,1.05054,1,0.12437,0.16826,0.05826,2.36953,3.11464,1.16338,0.000187678,0.000187678,0.000187678
49,57.7025,2.18841,3.14106,1.15297,1,0.12437,0.16826,0.05826,2.36953,3.11464,1.16338,0.000139032,0.000139032,0.000139032
50,58.8521,1.82652,3.07678,1.08126,1,0.12437,0.16826,0.05826,2.36953,3.11464,1.16338,0.000109768,0.000109768,0.000109768
1,2.60201,1.97477,3.81248,1.38845,0,0,0,0,1.73847,3.91937,1.20876,0.0937,0.0007,0.0007
2,5.15286,1.89934,3.81499,1.37275,0,0,0,0,1.73847,3.91937,1.20876,0.0864999,0.00149991,0.00149991
3,7.33966,1.89591,3.83349,1.43477,0,0,0,0,1.72095,3.90005,1.15919,0.0792994,0.00229943,0.00229943
4,9.60779,1.95025,3.87745,1.40509,0,0,0,0,1.72095,3.90005,1.15919,0.0720983,0.00309828,0.00309828
5,11.8497,2.0742,3.79491,1.54078,0,0,0,0,1.72095,3.90005,1.15919,0.0648962,0.00389616,0.00389616
6,14.0154,1.9595,3.83928,1.39659,0,0,0,0,1.72095,3.90005,1.15919,0.0576928,0.00469276,0.00469276
7,16.211,2.17345,3.91715,1.5893,0,0,0,0,1.72095,3.90005,1.15919,0.0504878,0.00548781,0.00548781
8,18.4879,2.2803,3.79254,1.59507,0,0,0,0,2.08492,3.88872,1.25972,0.043281,0.006281,0.006281
9,20.6787,1.99665,3.73789,1.43334,0,0,0,0,2.08492,3.88872,1.25972,0.036072,0.00707204,0.00707204
10,22.8927,2.04653,3.74772,1.38449,0,0,0,0,2.08492,3.88872,1.25972,0.0288606,0.00786063,0.00786063
11,25.0922,2.12726,3.82199,1.47499,0,0,0,0,2.08492,3.88872,1.25972,0.0216465,0.0086465,0.0086465
12,27.2386,1.88441,3.74012,1.3672,0,0,0,0,2.08492,3.88872,1.25972,0.0144293,0.00942934,0.00942934
13,29.3923,1.90552,3.7249,1.3451,0,0,0,0,2.08492,3.88872,1.25972,0.00991152,0.00991152,0.00991152
14,31.541,2.00447,3.6467,1.43629,0,0,0,0,2.08492,3.88872,1.25972,0.00989622,0.00989622,0.00989622
15,33.6807,2.05528,3.74665,1.50952,0,0,0,0,2.08492,3.88872,1.25972,0.0098797,0.0098797,0.0098797
16,35.9228,1.93154,3.66205,1.36632,0.01,0.2,0.00852,0.00402,1.91677,3.68887,1.22381,0.00986199,0.00986199,0.00986199
17,38.1232,1.80637,3.57911,1.26767,0.01,0.2,0.00852,0.00402,1.91677,3.68887,1.22381,0.00984307,0.00984307,0.00984307
18,40.3795,2.06867,3.58711,1.45675,0.01,0.2,0.00852,0.00402,1.91677,3.68887,1.22381,0.00982296,0.00982296,0.00982296
19,42.552,1.74774,3.58929,1.26889,0.01,0.2,0.00852,0.00402,1.91677,3.68887,1.22381,0.00980167,0.00980167,0.00980167
20,44.7288,2.05382,3.59561,1.47979,0.01,0.2,0.00852,0.00402,1.91677,3.68887,1.22381,0.00977919,0.00977919,0.00977919
21,46.8845,1.85029,3.5519,1.33381,0.01,0.2,0.00852,0.00402,1.91677,3.68887,1.22381,0.00975553,0.00975553,0.00975553
22,49.0597,1.92594,3.55876,1.38808,0.01,0.2,0.00852,0.00402,1.91677,3.68887,1.22381,0.0097307,0.0097307,0.0097307
23,51.2525,1.87337,3.54671,1.37806,0.01,0.2,0.00852,0.00402,1.91677,3.68887,1.22381,0.0097047,0.0097047,0.0097047
24,53.4684,1.91309,3.34842,1.34951,0.00657,0.13333,0.00495,0.00141,1.93924,3.70263,1.32193,0.00967754,0.00967754,0.00967754
25,55.5982,1.91189,3.10788,1.29934,0.00657,0.13333,0.00495,0.00141,1.93924,3.70263,1.32193,0.00964923,0.00964923,0.00964923
26,57.7831,2.22056,3.36643,1.57613,0.00657,0.13333,0.00495,0.00141,1.93924,3.70263,1.32193,0.00961978,0.00961978,0.00961978
27,59.9762,1.9516,3.26175,1.32658,0.00657,0.13333,0.00495,0.00141,1.93924,3.70263,1.32193,0.00958918,0.00958918,0.00958918
28,62.1163,1.85713,3.12855,1.28159,0.00657,0.13333,0.00495,0.00141,1.93924,3.70263,1.32193,0.00955746,0.00955746,0.00955746
29,64.3157,1.87992,3.23797,1.35772,0.00657,0.13333,0.00495,0.00141,1.93924,3.70263,1.32193,0.00952461,0.00952461,0.00952461
30,66.4617,1.72909,3.24557,1.27867,0.00657,0.13333,0.00495,0.00141,1.93924,3.70263,1.32193,0.00949065,0.00949065,0.00949065
31,68.6229,1.88753,3.15835,1.27045,0.00657,0.13333,0.00495,0.00141,1.93924,3.70263,1.32193,0.00945558,0.00945558,0.00945558
32,70.8625,1.89337,2.84781,1.32347,0.76652,0.13333,0.1581,0.05606,2.04317,3.68781,1.32267,0.00941941,0.00941941,0.00941941
33,73.051,1.92417,2.88449,1.36878,0.76652,0.13333,0.1581,0.05606,2.04317,3.68781,1.32267,0.00938215,0.00938215,0.00938215
34,75.2172,1.89644,3.24106,1.36125,0.76652,0.13333,0.1581,0.05606,2.04317,3.68781,1.32267,0.00934381,0.00934381,0.00934381
35,77.4342,2.1053,3.18941,1.5465,0.76652,0.13333,0.1581,0.05606,2.04317,3.68781,1.32267,0.00930441,0.00930441,0.00930441
36,79.601,2.04187,2.85999,1.49618,0.76652,0.13333,0.1581,0.05606,2.04317,3.68781,1.32267,0.00926394,0.00926394,0.00926394
37,81.7548,1.99311,2.49635,1.34144,0.76652,0.13333,0.1581,0.05606,2.04317,3.68781,1.32267,0.00922242,0.00922242,0.00922242
38,83.9545,1.83918,2.69478,1.23214,0.76652,0.13333,0.1581,0.05606,2.04317,3.68781,1.32267,0.00917986,0.00917986,0.00917986
39,86.1521,1.88609,3.00515,1.29474,0.76652,0.13333,0.1581,0.05606,2.04317,3.68781,1.32267,0.00913627,0.00913627,0.00913627
40,88.3539,1.99942,2.93708,1.42632,0.98101,0.2,0.30449,0.15271,1.8965,2.51744,1.31102,0.00909166,0.00909166,0.00909166
41,90.5275,1.79307,2.55876,1.24215,0.98101,0.2,0.30449,0.15271,1.8965,2.51744,1.31102,0.00904604,0.00904604,0.00904604
42,92.6854,2.11211,2.76045,1.43587,0.98101,0.2,0.30449,0.15271,1.8965,2.51744,1.31102,0.00899942,0.00899942,0.00899942
43,94.8863,2.15032,2.61631,1.52498,0.98101,0.2,0.30449,0.15271,1.8965,2.51744,1.31102,0.00895182,0.00895182,0.00895182
44,97.0613,1.89917,2.46878,1.35259,0.98101,0.2,0.30449,0.15271,1.8965,2.51744,1.31102,0.00890325,0.00890325,0.00890325
45,99.2122,1.96304,2.80228,1.35692,0.98101,0.2,0.30449,0.15271,1.8965,2.51744,1.31102,0.00885371,0.00885371,0.00885371
46,101.438,2.01818,2.48472,1.37358,0.98101,0.2,0.30449,0.15271,1.8965,2.51744,1.31102,0.00880323,0.00880323,0.00880323
47,103.603,2.10081,3.39045,1.43265,0.98101,0.2,0.30449,0.15271,1.8965,2.51744,1.31102,0.0087518,0.0087518,0.0087518
48,105.804,2.03487,2.50809,1.36107,0.99373,0.2,0.38674,0.18474,1.90783,2.14671,1.24417,0.00869946,0.00869946,0.00869946
49,107.98,1.72678,2.16325,1.20661,0.99373,0.2,0.38674,0.18474,1.90783,2.14671,1.24417,0.0086462,0.0086462,0.0086462
50,110.142,1.76406,2.50568,1.21619,0.99373,0.2,0.38674,0.18474,1.90783,2.14671,1.24417,0.00859204,0.00859204,0.00859204
51,112.337,1.84826,2.55074,1.26202,0.99373,0.2,0.38674,0.18474,1.90783,2.14671,1.24417,0.008537,0.008537,0.008537
52,114.478,1.88252,2.6308,1.36072,0.99373,0.2,0.38674,0.18474,1.90783,2.14671,1.24417,0.00848108,0.00848108,0.00848108
53,116.607,2.0827,2.85855,1.63394,0.99373,0.2,0.38674,0.18474,1.90783,2.14671,1.24417,0.00842431,0.00842431,0.00842431
54,118.796,1.99976,2.51,1.34707,0.99373,0.2,0.38674,0.18474,1.90783,2.14671,1.24417,0.0083667,0.0083667,0.0083667
55,120.995,2.10504,2.68652,1.32684,0.99373,0.2,0.38674,0.18474,1.90783,2.14671,1.24417,0.00830825,0.00830825,0.00830825
56,123.182,1.79756,2.07574,1.26996,0.71607,0.39088,0.40127,0.20159,1.88298,1.83736,1.302,0.00824899,0.00824899,0.00824899
57,125.428,1.89838,2.70175,1.3251,0.71607,0.39088,0.40127,0.20159,1.88298,1.83736,1.302,0.00818893,0.00818893,0.00818893
58,127.582,1.87104,1.99231,1.35216,0.71607,0.39088,0.40127,0.20159,1.88298,1.83736,1.302,0.00812809,0.00812809,0.00812809
59,129.774,1.79392,2.48988,1.35902,0.71607,0.39088,0.40127,0.20159,1.88298,1.83736,1.302,0.00806647,0.00806647,0.00806647
60,131.963,1.8124,2.23638,1.26924,0.71607,0.39088,0.40127,0.20159,1.88298,1.83736,1.302,0.0080041,0.0080041,0.0080041
61,134.176,1.81199,2.16909,1.22028,0.71607,0.39088,0.40127,0.20159,1.88298,1.83736,1.302,0.00794099,0.00794099,0.00794099
62,136.412,1.96914,2.29094,1.3613,0.71607,0.39088,0.40127,0.20159,1.88298,1.83736,1.302,0.00787715,0.00787715,0.00787715
63,138.625,1.80381,2.10623,1.22709,0.71607,0.39088,0.40127,0.20159,1.88298,1.83736,1.302,0.00781261,0.00781261,0.00781261
64,140.832,1.90284,2.2469,1.37825,0.75207,0.31892,0.33586,0.16832,1.97217,1.81345,1.35514,0.00774737,0.00774737,0.00774737
65,142.987,1.96542,2.035,1.36907,0.75207,0.31892,0.33586,0.16832,1.97217,1.81345,1.35514,0.00768145,0.00768145,0.00768145
66,145.108,1.59143,2.35718,1.22178,0.75207,0.31892,0.33586,0.16832,1.97217,1.81345,1.35514,0.00761488,0.00761488,0.00761488
67,147.24,1.74867,2.14308,1.28569,0.75207,0.31892,0.33586,0.16832,1.97217,1.81345,1.35514,0.00754766,0.00754766,0.00754766
68,149.413,1.82755,1.86646,1.19459,0.75207,0.31892,0.33586,0.16832,1.97217,1.81345,1.35514,0.00747982,0.00747982,0.00747982
69,151.644,1.88789,2.05864,1.28236,0.75207,0.31892,0.33586,0.16832,1.97217,1.81345,1.35514,0.00741136,0.00741136,0.00741136
70,153.804,1.86688,2.2602,1.33289,0.75207,0.31892,0.33586,0.16832,1.97217,1.81345,1.35514,0.00734231,0.00734231,0.00734231
71,155.979,1.8637,2.30045,1.29348,0.75207,0.31892,0.33586,0.16832,1.97217,1.81345,1.35514,0.00727268,0.00727268,0.00727268
72,158.227,1.75092,1.82431,1.26265,0.92287,0.4,0.42473,0.22455,1.85486,1.56378,1.29916,0.0072025,0.0072025,0.0072025
73,160.955,1.76435,1.84411,1.23947,0.92287,0.4,0.42473,0.22455,1.85486,1.56378,1.29916,0.00713177,0.00713177,0.00713177
74,163.425,1.62612,1.76432,1.19462,0.92287,0.4,0.42473,0.22455,1.85486,1.56378,1.29916,0.00706051,0.00706051,0.00706051
75,165.776,1.91152,2.39571,1.45366,0.92287,0.4,0.42473,0.22455,1.85486,1.56378,1.29916,0.00698875,0.00698875,0.00698875
76,167.996,2.27579,2.10347,1.41005,0.92287,0.4,0.42473,0.22455,1.85486,1.56378,1.29916,0.0069165,0.0069165,0.0069165
77,170.176,1.81815,1.97576,1.26815,0.92287,0.4,0.42473,0.22455,1.85486,1.56378,1.29916,0.00684378,0.00684378,0.00684378
78,172.44,1.84096,1.932,1.27822,0.92287,0.4,0.42473,0.22455,1.85486,1.56378,1.29916,0.00677061,0.00677061,0.00677061
